日期,项目ID,广告位ID,代理曝光,代理点击,媒体曝光,媒体点击
2018/3/18,1067,101750,0,129,,
2018/3/18,1067,101750,0,259,,
2018/3/18,1067,102295,0,3,,
2018/3/20,1067,100676,0,1,,
2018/3/20,1067,100676,0,4,,
2018/3/20,1067,101683,0,3,,
2018/3/20,1067,100852,0,6,,
2018/3/20,1067,100852,0,2,,
2018/3/20,1067,100852,0,3,,
2018/3/20,1067,102275,0,2,,
2018/3/20,1067,102275,0,1,,
2018/3/20,1067,101750,0,64,,
2018/3/20,1067,101750,0,164,,
2018/3/20,1067,102295,0,1,,
2018/3/20,1067,102284,0,2,,
2018/3/22,1067,100676,0,2,,
2018/3/22,1067,101683,0,1,,
2018/3/22,1067,100852,0,3,,
2018/3/22,1067,100852,0,3,,
2018/3/22,1067,100852,0,3,,
2018/3/22,1067,102275,0,2,,
2018/3/22,1067,102275,0,1,,
2018/3/22,1067,101750,0,44,,
2018/3/22,1067,101750,0,85,,
2018/3/22,1067,102295,0,2,,
2018/3/22,1067,102284,0,1,,
2018/3/21,1067,100676,0,1,,
2018/3/21,1067,100852,0,2,,
2018/3/21,1067,100852,0,10,,
2018/3/21,1067,102275,0,1,,
2018/3/21,1067,102275,0,1,,
2018/3/21,1067,101750,0,54,,
2018/3/21,1067,101750,0,113,,
2018/3/20,1062,102183,0,2,,
2018/3/19,400,13133,0,1,,
2018/3/19,400,4928,0,34309,,
2018/3/19,400,13110,0,14996,,
2018/3/19,400,13110,0,5,,
2018/3/19,400,13134,0,3,,
2018/3/19,400,13048,0,26,,
2018/3/19,400,13145,0,175911,,
2018/3/19,400,12142,0,138327,,
2018/3/19,400,9781,0,62,,
2018/3/19,400,13105,0,17,,
2018/3/19,400,13086,0,2,,
2018/3/20,400,4928,0,10,,
2018/3/20,400,13110,0,3,,
2018/3/20,400,13110,0,12961,,
2018/3/20,400,13134,0,15237,,
2018/3/20,400,13048,0,23,,
2018/3/20,400,13049,0,1,,
2018/3/20,400,13145,0,95,,
2018/3/20,400,12142,0,2,,
2018/3/20,400,9781,0,8,,
2018/3/20,400,13105,0,4,,
2018/3/18,400,13048,0,29,,
2018/3/18,400,13145,0,12,,
2018/3/18,400,12142,0,6,,
2018/3/18,400,9781,0,39,,
2018/3/18,400,13105,0,9,,
2018/3/18,400,5425,0,1,,
2018/3/18,400,13133,0,28647,,
2018/3/21,400,4928,0,1,,
2018/3/21,400,13110,0,1,,
2018/3/21,400,13048,0,31,,
2018/3/21,400,13145,0,39,,
2018/3/21,400,9781,0,1,,
2018/3/22,400,9781,0,5,,
2018/3/22,400,9781,0,14,,
2018/3/22,400,13106,0,10,,
2018/3/22,400,13048,0,32,,
2018/3/22,400,13145,0,36,,
2018/3/20,1053,100674,585,32,,
2018/3/19,1053,100674,505,5,,
2018/3/21,1053,100674,460,49,,
2018/3/18,1053,100674,401,9,,
2018/3/22,1053,100674,385,2,,
2018/3/19,1053,100674,370,30,,
2018/3/21,1053,100674,357,29,,
2018/3/22,1053,100674,297,65,,
2018/3/18,1053,100674,227,24,,
2018/3/20,1053,100674,202,24,,
2018/3/19,1053,100674,2,1,,
2018/3/19,1053,100674,1,1,,
2018/3/19,1053,100675,1,0,,
2018/3/18,1053,100675,1,0,,
2018/3/20,1053,100674,1,4,,
2018/3/20,1053,100674,1,4,,
2018/3/22,1053,100675,1,0,,
2018/3/19,1053,100678,0,1,,
2018/3/19,1053,100674,0,9,,
2018/3/19,1053,100675,0,1,,
2018/3/19,1053,100676,0,3,,
2018/3/19,1053,100678,0,1,,
2018/3/19,1053,100676,0,2,,
2018/3/19,1053,100677,0,6,,
2018/3/19,1053,100678,0,1,,
2018/3/19,1053,100677,0,1,,
2018/3/19,1053,100852,0,1,,
2018/3/19,1053,100852,0,5,,
2018/3/19,1053,100852,0,3,,
2018/3/19,1053,100852,0,2,,
2018/3/19,1053,100686,0,1,,
2018/3/19,1053,100686,0,1,,
2018/3/19,1053,101826,0,1,,
2018/3/21,1053,100676,0,2,,
2018/3/21,1053,100676,0,5,,
2018/3/21,1053,100674,0,4,,
2018/3/21,1053,100676,0,1,,
2018/3/21,1053,100676,0,2,,
2018/3/21,1053,100852,0,1,,
2018/3/21,1053,100852,0,2,,
2018/3/21,1053,100852,0,1,,
2018/3/21,1053,100852,0,1,,
2018/3/21,1053,100976,0,1,,
2018/3/21,1053,100854,0,2,,
2018/3/21,1053,100854,0,1,,
2018/3/21,1053,101826,0,11,,
2018/3/21,1053,102061,0,1,,
2018/3/18,1053,100674,0,7,,
2018/3/18,1053,100674,0,1,,
2018/3/18,1053,100676,0,4,,
2018/3/18,1053,100674,0,3,,
2018/3/18,1053,100676,0,3,,
2018/3/18,1053,100678,0,1,,
2018/3/18,1053,100852,0,3,,
2018/3/18,1053,100852,0,1,,
2018/3/18,1053,100852,0,3,,
2018/3/18,1053,100976,0,1,,
2018/3/18,1053,101826,0,1,,
2018/3/18,1053,102061,0,1,,
2018/3/20,1053,100674,0,7,,
2018/3/20,1053,100676,0,2,,
2018/3/20,1053,100676,0,1,,
2018/3/20,1053,100676,0,1,,
2018/3/20,1053,100852,0,1,,
2018/3/20,1053,100852,0,1,,
2018/3/20,1053,100852,0,1,,
2018/3/20,1053,101826,0,5,,
2018/3/20,1053,100686,0,1,,
2018/3/20,1053,102065,0,1,,
2018/3/22,1053,100674,0,2,,
2018/3/22,1053,100674,0,3,,
2018/3/22,1053,100675,0,1,,
2018/3/22,1053,100678,0,2,,
2018/3/22,1053,101683,0,1,,
2018/3/22,1053,100852,0,2,,
2018/3/22,1053,101826,0,11,,
2018/3/22,1053,100854,0,1,,
2018/3/22,1053,102058,0,4,,
2018/3/21,1048,100674,25,3,,
2018/3/22,1048,100674,23,1,,
2018/3/18,1048,100674,22,7,,
2018/3/19,1048,100674,21,1,,
2018/3/20,1048,100674,20,5,,
2018/3/20,1048,100675,1,0,,
2018/3/20,1048,100675,1,0,,
2018/3/22,1048,100674,1,0,,
2018/3/20,1048,100674,0,1,,
2018/3/20,1048,100676,0,1,,
2018/3/20,1048,100849,0,1,,
2018/3/20,1048,100854,0,4,,
2018/3/22,1048,100676,0,1,,
2018/3/22,1048,100854,0,1,,
2018/3/22,1048,100854,0,3,,
2018/3/22,1048,100847,0,1,,
2018/3/18,1048,100674,0,1,,
2018/3/18,1048,100676,0,1,,
2018/3/18,1048,100847,0,1,,
2018/3/18,1048,100854,0,3,,
2018/3/19,1048,100674,0,3,,
2018/3/19,1048,100847,0,1,,
2018/3/19,1048,100849,0,1,,
2018/3/19,1048,100854,0,4,,
2018/3/21,1048,100674,0,2,,
2018/3/21,1048,100854,0,1,,
2018/3/21,1048,100854,0,9,,
2018/3/21,1048,100849,0,1,,
2018/3/19,1047,100674,0,1,,
2018/3/19,1047,100676,0,1,,
2018/3/19,1047,100852,0,2,,
2018/3/21,1047,100674,0,3,,
2018/3/21,1047,101826,0,9,,
2018/3/22,1047,100674,0,3,,
2018/3/22,1047,101826,0,8,,
2018/3/18,1047,101826,0,1,,
2018/3/20,1047,101826,0,1,,
2018/3/18,1051,100674,0,1,,
2018/3/18,1051,100678,0,1,,
2018/3/18,1051,101750,0,41,,
2018/3/19,1051,100674,0,1,,
2018/3/19,1051,101750,0,46,,
2018/3/21,1051,100674,0,2,,
2018/3/21,1051,101750,0,39,,
2018/3/22,1051,100674,0,3,,
2018/3/22,1051,101750,0,25,,
2018/3/20,1051,101750,0,43,,
2018/3/19,1067,101378,61,0,,
2018/3/20,1067,102272,53,0,,
2018/3/20,1067,101378,35,0,,
2018/3/19,1067,100952,35,0,,
2018/3/20,1067,100952,34,0,,
2018/3/21,1067,102272,32,0,,
2018/3/22,1067,102272,30,0,,
2018/3/22,1067,101269,28,0,,
2018/3/21,1067,101269,26,0,,
2018/3/21,1067,101378,26,0,,
2018/3/18,1067,102272,26,0,,
2018/3/19,1067,102272,25,2,,
2018/3/18,1067,101378,23,0,,
2018/3/18,1067,100952,20,0,,
2018/3/21,1067,100632,18,0,,
2018/3/21,1067,100952,16,0,,
2018/3/22,1067,101267,16,0,,
2018/3/22,1067,100952,16,0,,
2018/3/22,1067,101378,16,0,,
2018/3/22,1067,100632,11,0,,
2018/3/18,1067,101269,11,0,,
2018/3/22,1067,102273,9,0,,
2018/3/22,1067,100694,8,0,,
2018/3/21,1067,101267,6,0,,
2018/3/21,1067,102273,6,0,,
2018/3/21,1067,100694,6,0,,
2018/3/19,1067,101269,5,0,,
2018/3/20,1067,101269,4,0,,
2018/3/20,1067,100632,3,0,,
2018/3/19,1067,102273,2,0,,
2018/3/20,1067,101267,1,0,,
2018/3/20,1067,102273,1,0,,
2018/3/19,1067,101267,1,0,,
2018/3/18,1067,101267,1,0,,
2018/3/18,1067,102273,1,0,,
2018/3/21,1067,100637,0,23122,,
2018/3/21,1067,101463,0,4,,
2018/3/21,1067,100922,0,4,,
2018/3/21,1067,100920,0,131,,
2018/3/22,1067,100637,0,21621,,
2018/3/22,1067,101463,0,8,,
2018/3/22,1067,100922,0,3,,
2018/3/22,1067,100920,0,74,,
2018/3/20,1067,100637,0,25804,,
2018/3/20,1067,101463,0,7,,
2018/3/20,1067,100922,0,10,,
2018/3/20,1067,100920,0,108,,
2018/3/19,1067,100637,0,22026,,
2018/3/19,1067,101463,0,10,,
2018/3/19,1067,100922,0,2,,
2018/3/19,1067,100920,0,150,,
2018/3/18,1067,100637,0,17407,,
2018/3/18,1067,100920,0,416,,
2018/3/18,1067,101463,0,12,,
2018/3/18,1068,101786,72264,70377,,
2018/3/19,1068,101786,37101,36041,,
2018/3/20,1068,101786,19526,18720,,
2018/3/21,1068,101786,13562,12853,,
2018/3/22,1068,101786,10175,9717,,
2018/3/20,400,3098,3590763,54634,,
2018/3/19,400,770,3130585,43567,,
2018/3/20,400,13142,2896433,33696,,
2018/3/19,400,13140,1226674,15527,,
2018/3/21,400,13144,1160898,13205,,
2018/3/21,400,13143,464519,5334,,
2018/3/20,400,13141,307099,3791,,
2018/3/19,400,13141,299821,3813,,
2018/3/21,400,13142,3175,2,,
2018/3/22,400,13144,1564,0,,
2018/3/21,400,3098,586,3,,
2018/3/20,400,770,368,1,,
2018/3/20,400,13140,237,1,,
2018/3/22,400,13142,187,0,,
2018/3/22,400,3098,183,0,,
2018/3/21,400,13141,102,0,,
2018/3/22,400,13143,55,1,,
2018/3/21,400,770,51,0,,
2018/3/19,400,3098,29,8,,
2018/3/22,400,770,29,0,,
2018/3/18,400,770,28,1,,
2018/3/22,400,13141,23,0,,
2018/3/21,400,13140,19,0,,
2018/3/22,400,13140,5,0,,
2018/3/19,400,13143,0,2,,
2018/3/19,400,13144,0,1,,
2018/3/19,400,13142,0,2,,
2018/3/19,400,1158,0,1071,,
2018/3/19,400,10675,0,2,,
2018/3/20,400,13143,0,3,,
2018/3/20,400,13144,0,3,,
2018/3/20,400,1158,0,2124,,
2018/3/20,400,10675,0,3,,
2018/3/21,400,1158,0,1602,,
2018/3/21,400,10675,0,1,,
2018/3/22,400,1158,0,1153,,
2018/3/22,400,10675,0,2,,
2018/3/18,400,10675,0,7,,
2018/3/18,1048,100636,501,0,,
2018/3/19,1048,100636,475,0,,
2018/3/19,1048,101268,167,0,,
2018/3/20,1048,100636,137,0,,
2018/3/18,1048,101268,132,0,,
2018/3/19,1048,102046,80,4,,
2018/3/20,1048,101268,71,0,,
2018/3/18,1048,102046,65,1,,
2018/3/20,1048,102046,25,0,,
2018/3/21,1048,100636,16,0,,
2018/3/22,1048,100636,16,0,,
2018/3/22,1048,102046,15,0,,
2018/3/22,1048,101267,15,0,,
2018/3/21,1048,101268,12,0,,
2018/3/22,1048,101268,12,0,,
2018/3/21,1048,102046,8,0,,
2018/3/21,1048,101267,7,0,,
2018/3/20,1048,101267,4,0,,
2018/3/19,1048,100637,0,43,,
2018/3/19,1048,101463,0,2,,
2018/3/19,1048,100922,0,2,,
2018/3/19,1048,101463,0,3,,
2018/3/19,1048,100922,0,3,,
2018/3/19,1048,100920,0,8,,
2018/3/19,1048,100920,0,47,,
2018/3/20,1048,100637,0,22,,
2018/3/20,1048,100920,0,3,,
2018/3/20,1048,100920,0,50,,
2018/3/20,1048,101463,0,3,,
2018/3/20,1048,101463,0,4,,
2018/3/21,1048,100637,0,27,,
2018/3/21,1048,100920,0,3,,
2018/3/21,1048,100920,0,41,,
2018/3/21,1048,101463,0,2,,
2018/3/21,1048,100922,0,1,,
2018/3/22,1048,100637,0,17,,
2018/3/22,1048,100920,0,2,,
2018/3/22,1048,100920,0,18,,
2018/3/22,1048,101463,0,1,,
2018/3/22,1048,100922,0,1,,
2018/3/18,1048,100637,0,48,,
2018/3/18,1048,100920,0,7,,
2018/3/18,1048,100920,0,112,,
2018/3/18,1048,100922,0,1,,
2018/3/18,1048,101463,0,1,,
2018/3/18,1071,101597,0,533,,
2018/3/18,1071,101598,0,36,,
2018/3/18,1071,101599,0,51,,
2018/3/18,1071,102369,0,104,,
2018/3/19,1071,101597,0,24,,
2018/3/19,1071,101598,0,1,,
2018/3/19,1071,102369,0,4,,
2018/3/20,1071,101597,0,7,,
2018/3/20,1071,101598,0,3,,
2018/3/20,1071,102369,0,3,,
2018/3/22,1071,101597,0,1,,
2018/3/22,1071,101599,0,3,,
2018/3/22,1071,102369,0,59,,
2018/3/21,1071,102369,0,3,,
2018/3/21,1071,101597,0,5,,
2018/3/22,1066,100785,1486107,16614,,
2018/3/22,1066,100790,1175732,9739,,
2018/3/22,1066,101760,1175303,9158,,
2018/3/22,1066,100788,761596,7451,,
2018/3/22,1066,100792,633829,7462,,
2018/3/22,1066,100787,629454,6327,,
2018/3/22,1066,100786,629159,5785,,
2018/3/22,1066,100789,603273,5737,,
2018/3/22,1066,100793,600950,5788,,
2018/3/22,1066,100794,560619,6392,,
2018/3/22,1066,100795,490802,4600,,
2018/3/21,1066,100785,18,4,,
2018/3/21,1066,100788,10,4,,
2018/3/21,1066,100787,6,2,,
2018/3/21,1066,101760,6,3,,
2018/3/21,1066,100794,6,1,,
2018/3/21,1066,100786,5,2,,
2018/3/21,1066,100792,5,1,,
2018/3/21,1066,100793,5,1,,
2018/3/21,1066,100789,4,3,,
2018/3/21,1066,100790,4,2,,
2018/3/21,1066,100795,4,1,,
2018/3/21,1066,100618,0,431001,,
2018/3/21,1066,100619,0,268678,,
2018/3/22,1066,100618,0,341,,
2018/3/22,1066,100619,0,206,,
2018/3/19,1066,100618,0,443569,,
2018/3/19,1066,100619,0,275460,,
2018/3/20,1066,100618,0,118,,
2018/3/20,1066,100619,0,57,,
2018/3/20,1066,100925,18726225,3779,,
2018/3/20,1066,101100,9727459,441063,,
2018/3/21,1066,100925,36653,11,,
2018/3/22,1066,100925,4924,4,,
2018/3/21,1066,101100,1086,1402,,
2018/3/19,1066,101100,637,25,,
2018/3/22,1066,101100,6,241,,
2018/3/19,1066,100925,0,1,,
2018/3/18,1064,100925,757,0,,
2018/3/19,1064,100925,403,4,,
2018/3/20,1064,100925,224,0,,
2018/3/21,1064,100925,144,0,,
2018/3/22,1064,100925,64,0,,
2018/3/19,1064,101100,5,50,,
2018/3/18,1064,101100,4,96,,
2018/3/20,1064,101100,1,25,,
2018/3/21,1064,101100,1,13,,
2018/3/22,1064,101100,1,16,,
2018/3/18,1068,101790,100116,96622,,
2018/3/19,1068,101790,54597,53061,,
2018/3/20,1068,101790,32439,31526,,
2018/3/21,1068,101790,22538,21930,,
2018/3/22,1068,101790,17631,17209,,
2018/3/19,1067,100785,133,3,,
2018/3/19,1067,100790,118,2,,
2018/3/19,1067,101760,91,2,,
2018/3/19,1067,102305,76,4,,
2018/3/21,1067,100785,72,0,,
2018/3/20,1067,100785,67,0,,
2018/3/20,1067,100790,67,0,,
2018/3/22,1067,100785,65,0,,
2018/3/20,1067,101760,64,0,,
2018/3/19,1067,100789,61,2,,
2018/3/21,1067,100790,59,0,,
2018/3/19,1067,102304,54,2,,
2018/3/19,1067,100788,54,2,,
2018/3/21,1067,101760,52,0,,
2018/3/20,1067,102305,51,0,,
2018/3/22,1067,100790,51,0,,
2018/3/19,1067,102302,49,2,,
2018/3/19,1067,102303,49,2,,
2018/3/19,1067,100792,48,2,,
2018/3/19,1067,102301,45,2,,
2018/3/18,1067,100785,42,0,,
2018/3/20,1067,100788,42,0,,
2018/3/21,1067,102304,42,0,,
2018/3/20,1067,100789,40,0,,
2018/3/21,1067,102305,38,0,,
2018/3/20,1067,102303,37,1,,
2018/3/21,1067,100788,37,0,,
2018/3/20,1067,100792,36,0,,
2018/3/22,1067,100788,36,0,,
2018/3/20,1067,102302,34,0,,
2018/3/20,1067,102304,34,0,,
2018/3/22,1067,101760,33,0,,
2018/3/18,1067,100790,32,0,,
2018/3/20,1067,102301,32,0,,
2018/3/18,1067,101760,31,0,,
2018/3/22,1067,102303,29,0,,
2018/3/21,1067,102303,27,0,,
2018/3/22,1067,102304,27,0,,
2018/3/21,1067,102301,25,0,,
2018/3/21,1067,102302,25,0,,
2018/3/22,1067,102301,25,0,,
2018/3/22,1067,102305,25,0,,
2018/3/22,1067,100792,25,0,,
2018/3/18,1067,102305,24,0,,
2018/3/21,1067,100789,22,1,,
2018/3/21,1067,100792,22,0,,
2018/3/22,1067,102302,22,0,,
2018/3/18,1067,102301,21,0,,
2018/3/18,1067,102302,21,0,,
2018/3/18,1067,102303,20,0,,
2018/3/18,1067,100792,20,0,,
2018/3/18,1067,100788,16,0,,
2018/3/22,1067,100789,16,0,,
2018/3/18,1067,100789,15,0,,
2018/3/18,1067,102304,14,0,,
2018/3/18,1067,100816,0,260,,
2018/3/18,1067,101103,0,3,,
2018/3/18,1067,101274,0,4,,
2018/3/18,1067,101275,0,9,,
2018/3/18,1067,101279,0,873,,
2018/3/18,1067,101281,0,1,,
2018/3/18,1067,101466,0,333,,
2018/3/18,1067,102337,0,1,,
2018/3/18,1067,102079,0,9,,
2018/3/18,1067,102372,0,2,,
2018/3/18,1067,101646,0,328,,
2018/3/18,1067,101888,0,87,,
2018/3/20,1067,100816,0,445,,
2018/3/20,1067,101103,0,1,,
2018/3/20,1067,101279,0,21,,
2018/3/20,1067,101281,0,1,,
2018/3/20,1067,102317,0,1,,
2018/3/20,1067,101466,0,468,,
2018/3/20,1067,102337,0,16,,
2018/3/20,1067,102079,0,2,,
2018/3/20,1067,102372,0,5,,
2018/3/20,1067,101646,0,179,,
2018/3/20,1067,101888,0,38,,
2018/3/20,1067,100618,0,1,,
2018/3/19,1067,100816,0,313,,
2018/3/19,1067,101279,0,955,,
2018/3/19,1067,101466,0,1029,,
2018/3/19,1067,102337,0,5,,
2018/3/19,1067,102079,0,2,,
2018/3/19,1067,102372,0,61,,
2018/3/19,1067,101646,0,257,,
2018/3/19,1067,101888,0,57,,
2018/3/21,1067,100816,0,227,,
2018/3/21,1067,101279,0,9,,
2018/3/21,1067,101281,0,1,,
2018/3/21,1067,101466,0,274,,
2018/3/21,1067,102337,0,3,,
2018/3/21,1067,102079,0,6,,
2018/3/21,1067,102372,0,4,,
2018/3/21,1067,101646,0,130,,
2018/3/21,1067,101888,0,21,,
2018/3/21,1067,100618,0,1,,
2018/3/22,1067,100816,0,291,,
2018/3/22,1067,101279,0,20,,
2018/3/22,1067,101466,0,176,,
2018/3/22,1067,102337,0,1,,
2018/3/22,1067,102079,0,1,,
2018/3/22,1067,102372,0,21,,
2018/3/22,1067,101646,0,78,,
2018/3/22,1067,101888,0,9,,
2018/3/19,1067,100699,1,33,,
2018/3/20,1067,100699,1,17,,
2018/3/18,1067,101530,0,168,,
2018/3/18,1067,101531,0,2,,
2018/3/18,1067,101532,0,5,,
2018/3/18,1067,101530,0,33,,
2018/3/18,1067,101530,0,400,,
2018/3/18,1067,101531,0,7,,
2018/3/18,1067,101532,0,9,,
2018/3/18,1067,102312,0,1,,
2018/3/18,1067,100699,0,49,,
2018/3/19,1067,101530,0,154,,
2018/3/19,1067,101532,0,8,,
2018/3/19,1067,101530,0,26,,
2018/3/19,1067,101531,0,1,,
2018/3/19,1067,101530,0,208,,
2018/3/19,1067,101531,0,3,,
2018/3/19,1067,101532,0,2,,
2018/3/20,1067,101530,0,93,,
2018/3/20,1067,101532,0,1,,
2018/3/20,1067,101530,0,18,,
2018/3/20,1067,101530,0,137,,
2018/3/20,1067,101531,0,2,,
2018/3/20,1067,101532,0,3,,
2018/3/21,1067,101530,0,55,,
2018/3/21,1067,101530,0,14,,
2018/3/21,1067,101530,0,29,,
2018/3/21,1067,101532,0,5,,
2018/3/21,1067,102312,0,1,,
2018/3/21,1067,100699,0,19,,
2018/3/22,1067,101530,0,62,,
2018/3/22,1067,101530,0,4,,
2018/3/22,1067,101530,0,33,,
2018/3/22,1067,101532,0,3,,
2018/3/22,1067,102312,0,1,,
2018/3/22,1067,100699,0,10,,
2018/3/18,1067,100925,1740,8,,
2018/3/19,1067,100925,865,11,,
2018/3/20,1067,100925,595,3,,
2018/3/21,1067,100925,419,6,,
2018/3/22,1067,100925,152,4,,
2018/3/18,1067,101100,20,523,,
2018/3/19,1067,101100,16,330,,
2018/3/20,1067,101100,12,256,,
2018/3/22,1067,101100,2,144,,
2018/3/21,1067,101100,2,194,,
2018/3/20,1067,102296,0,6,,
2018/3/20,1067,101285,0,661,,
2018/3/22,1067,102296,0,1,,
2018/3/22,1067,101285,0,567,,
2018/3/18,1067,101285,0,1325,,
2018/3/19,1067,101285,0,1025,,
2018/3/21,1067,101285,0,498,,
